Disease,Medicine,Usage,Symptoms,Precautions,SideEffects
Joint Pain,Crocin,Use twice daily,Sneezing and cough,Drink warm water,Sleepiness
Vomiting,Cetirizine,Use once daily,Burning sensation,Avoid spicy food,Dry mouth
Joint Pain,Antacid,Drink water with medicine,Breathing problem,Drink warm water,Dizziness
Diabetes,Crocin,Take before meal,Vomiting and nausea,Avoid cold drinks,Sleepiness
BP,Metformin,Take before sleep,Burning sensation,Avoid cold drinks,Nausea
Allergy,Dolo 650,Use twice daily,Vomiting and nausea,Avoid cold drinks,Fatigue
Tooth Pain,ORS,Drink water with medicine,Sneezing and cough,Consult doctor if problem continues,Fatigue
Ear Infection,Amlodipine,Use twice daily,Body pain and weakness,Drink warm water,Sleepiness
Migraine,Antibiotic Cream,Use once daily,Sneezing and cough,Drink warm water,Fatigue
Typhoid,Paracetamol,Take before sleep,High temperature,Consult doctor if problem continues,Constipation
Cough,Pantoprazole,Take before sleep,Stomach infection,Do not overdose,Dry mouth
Headache,ORS,Take after meal,Stomach infection,Take proper rest,Dizziness
Acidity,Cetirizine,Drink water with medicine,Head pain and stress,Take proper rest,Nausea
Eye Infection,Cough Syrup,Use twice daily,Stomach infection,Drink warm water,Constipation
Tooth Pain,Ibuprofen,Take before sleep,Stomach infection,Consult doctor if problem continues,Dizziness
Allergy,Antibiotic Cream,Take before meal,Burning sensation,Consult doctor if problem continues,Dry mouth
Fever,Antibiotic Cream,Use once daily,Body pain and weakness,Avoid cold drinks,Nausea
Eye Infection,Amoxicillin,Take before meal,Body pain and weakness,Consult doctor if problem continues,Nausea
Stomach Pain,Metformin,Take before meal,High temperature,Do not overdose,Sleepiness
Tooth Pain,Omeprazole,Take before meal,Burning sensation,Drink warm water,Dizziness
Diabetes,Pantoprazole,Take after meal,Head pain and stress,Do not overdose,Nausea
Diarrhea,Insulin,Use once daily,Head pain and stress,Avoid spicy food,Nausea
Diarrhea,Azithromycin,Take after meal,Stomach infection,Avoid cold drinks,Fatigue
Joint Pain,Cetirizine,Use twice daily,Burning sensation,Take proper rest,Dizziness
Cough,Antibiotic Cream,Use once daily,Head pain and stress,Take proper rest,Nausea
Acidity,Omeprazole,Take after meal,Vomiting and nausea,Do not overdose,Dry mouth
Eye Infection,Crocin,Take after meal,Vomiting and nausea,Take proper rest,Dry mouth
Weakness,Amoxicillin,Drink water with medicine,Body pain and weakness,Avoid spicy food,Dizziness
Eye Infection,Cetirizine,Use once daily,Body pain and weakness,Avoid spicy food,Sleepiness
Diabetes,Dolo 650,Drink water with medicine,Head pain and stress,Avoid spicy food,Sleepiness
Vomiting,Salbutamol Inhaler,Take before sleep,Body pain and weakness,Avoid cold drinks,Nausea
Headache,Amlodipine,Take before meal,High temperature,Take proper rest,Dry mouth
BP,Omeprazole,Take after meal,Sneezing and cough,Avoid cold drinks,Dry mouth
Cold,Insulin,Drink water with medicine,Breathing problem,Avoid cold drinks,Constipation
Asthma,Insulin,Use twice daily,Vomiting and nausea,Consult doctor if problem continues,Constipation
Cold,Dolo 650,Use twice daily,Head pain and stress,Take proper rest,Dizziness
Diabetes,Insulin,Drink water with medicine,Sneezing and cough,Avoid spicy food,Dizziness
Migraine,Antacid,Take before meal,Burning sensation,Take proper rest,Dizziness
Migraine,Salbutamol Inhaler,Use twice daily,Body pain and weakness,Consult doctor if problem continues,Fatigue
Diarrhea,Pain Relief Gel,Take before meal,Breathing problem,Take proper rest,Dry mouth
Fever,Metformin,Use once daily,High temperature,Avoid spicy food,Dry mouth
Typhoid,Calcium Tablets,Take before meal,Sneezing and cough,Avoid cold drinks,Dizziness
Diarrhea,Amlodipine,Use once daily,Vomiting and nausea,Avoid spicy food,Dizziness
Acidity,Metformin,Take before sleep,High temperature,Avoid cold drinks,Dizziness
Eye Infection,Pain Relief Gel,Use twice daily,Head pain and stress,Drink warm water,Nausea
Migraine,Omeprazole,Take before meal,Head pain and stress,Drink warm water,Constipation
Fever,Vitamin Tablets,Take before meal,Burning sensation,Avoid cold drinks,Dry mouth
Migraine,Crocin,Take after meal,Vomiting and nausea,Take proper rest,Constipation
Headache,Crocin,Take after meal,Body pain and weakness,Consult doctor if problem continues,Sleepiness
Skin Infection,Ibuprofen,Take after meal,Head pain and stress,Take proper rest,Dry mouth
Stomach Pain,Metformin,Drink water with medicine,High temperature,Avoid spicy food,Dizziness
Eye Infection,Pain Relief Gel,Use once daily,Breathing problem,Avoid cold drinks,Constipation
Asthma,Antibiotic Cream,Use twice daily,Stomach infection,Do not overdose,Sleepiness
BP,ORS,Use once daily,Head pain and stress,Take proper rest,Constipation
Diarrhea,Metformin,Take after meal,Burning sensation,Take proper rest,Dizziness
Joint Pain,Metformin,Drink water with medicine,Head pain and stress,Take proper rest,Constipation
Diarrhea,Omeprazole,Take before meal,Body pain and weakness,Consult doctor if problem continues,Constipation
Stomach Pain,Metformin,Use twice daily,Body pain and weakness,Avoid spicy food,Nausea
Migraine,Cetirizine,Use twice daily,Breathing problem,Consult doctor if problem continues,Sleepiness
Migraine,Crocin,Take before meal,Stomach infection,Take proper rest,Dry mouth
Fever,Paracetamol,Take before meal,Body pain and weakness,Avoid cold drinks,Dry mouth
Ear Infection,Antibiotic Cream,Use once daily,High temperature,Do not overdose,Nausea
Cough,Azithromycin,Take before sleep,High temperature,Avoid spicy food,Nausea
Typhoid,Insulin,Use twice daily,Burning sensation,Avoid spicy food,Nausea
Joint Pain,Calcium Tablets,Use twice daily,High temperature,Do not overdose,Sleepiness
Ear Infection,Antacid,Take after meal,Stomach infection,Avoid cold drinks,Nausea
Diabetes,Paracetamol,Use once daily,Head pain and stress,Take proper rest,Fatigue
Headache,Cough Syrup,Use once daily,High temperature,Avoid cold drinks,Constipation
Ear Infection,Paracetamol,Take before meal,Sneezing and cough,Avoid spicy food,Sleepiness
Cough,Crocin,Take before meal,Sneezing and cough,Consult doctor if problem continues,Sleepiness
Migraine,Crocin,Drink water with medicine,Head pain and stress,Do not overdose,Dry mouth
Migraine,Cetirizine,Take before meal,Breathing problem,Do not overdose,Nausea
Headache,Antibiotic Cream,Take after meal,Head pain and stress,Do not overdose,Dry mouth
Joint Pain,ORS,Take before sleep,Sneezing and cough,Do not overdose,Fatigue
Eye Infection,Salbutamol Inhaler,Use twice daily,Body pain and weakness,Avoid cold drinks,Constipation
Vomiting,Azithromycin,Take before meal,Sneezing and cough,Avoid cold drinks,Dry mouth
Acidity,Azithromycin,Drink water with medicine,High temperature,Drink warm water,Dizziness
Typhoid,Paracetamol,Take before meal,Breathing problem,Drink warm water,Dizziness
Typhoid,Pain Relief Gel,Drink water with medicine,Stomach infection,Do not overdose,Constipation
Acidity,Cetirizine,Drink water with medicine,Vomiting and nausea,Do not overdose,Constipation
Eye Infection,Calcium Tablets,Drink water with medicine,Vomiting and nausea,Avoid spicy food,Nausea
Allergy,Metformin,Take after meal,Burning sensation,Consult doctor if problem continues,Sleepiness
Diabetes,ORS,Take after meal,Sneezing and cough,Avoid cold drinks,Dizziness
Cough,Pain Relief Gel,Take before meal,Body pain and weakness,Avoid spicy food,Dizziness
Typhoid,Azithromycin,Take before sleep,Head pain and stress,Avoid cold drinks,Sleepiness
Cold,Omeprazole,Take after meal,Stomach infection,Do not overdose,Nausea
Tooth Pain,Insulin,Use once daily,Breathing problem,Avoid cold drinks,Fatigue
Skin Infection,Omeprazole,Use twice daily,Head pain and stress,Avoid spicy food,Constipation
Skin Infection,Antacid,Take before meal,Stomach infection,Consult doctor if problem continues,Dizziness
Vomiting,Vitamin Tablets,Take before meal,Breathing problem,Avoid cold drinks,Dry mouth
Diabetes,Antibiotic Cream,Take after meal,Stomach infection,Avoid cold drinks,Nausea
Skin Infection,Omeprazole,Take before meal,Sneezing and cough,Drink warm water,Nausea
Acidity,ORS,Take after meal,Vomiting and nausea,Do not overdose,Nausea
BP,Paracetamol,Use twice daily,High temperature,Drink warm water,Dry mouth
Migraine,Calcium Tablets,Take after meal,Vomiting and nausea,Do not overdose,Fatigue
Acidity,Ibuprofen,Take before sleep,Stomach infection,Take proper rest,Nausea
Headache,Paracetamol,Take before sleep,Burning sensation,Take proper rest,Fatigue
BP,Vitamin Tablets,Use twice daily,Head pain and stress,Drink warm water,Dizziness
Asthma,Pantoprazole,Take before meal,Body pain and weakness,Do not overdose,Constipation
Tooth Pain,Antacid,Use once daily,Head pain and stress,Take proper rest,Nausea
BP,Crocin,Take after meal,Breathing problem,Avoid cold drinks,Fatigue
Asthma,Pain Relief Gel,Take before meal,Sneezing and cough,Take proper rest,Dry mouth
Cold,Amoxicillin,Take before meal,Stomach infection,Avoid spicy food,Sleepiness
Diarrhea,Antacid,Use once daily,Body pain and weakness,Avoid spicy food,Constipation
Fever,Paracetamol,Take before sleep,High temperature,Consult doctor if problem continues,Dry mouth
Allergy,Pain Relief Gel,Take before meal,Head pain and stress,Avoid spicy food,Sleepiness
Allergy,Cetirizine,Drink water with medicine,Stomach infection,Avoid spicy food,Fatigue
Ear Infection,Omeprazole,Drink water with medicine,High temperature,Consult doctor if problem continues,Sleepiness
Skin Infection,Cetirizine,Use once daily,Vomiting and nausea,Take proper rest,Sleepiness
Asthma,Pantoprazole,Use twice daily,Burning sensation,Avoid cold drinks,Fatigue
Ear Infection,Crocin,Take before meal,Head pain and stress,Avoid spicy food,Constipation
Cough,Pantoprazole,Take after meal,Sneezing and cough,Do not overdose,Dizziness
Ear Infection,Pantoprazole,Take before sleep,High temperature,Consult doctor if problem continues,Sleepiness
